################################################################################
# PrimaryKey
# AccountCode
# AccountingPeriod
# TransactionDate
# RecordType
# DebitCredit
# JournalType
# JournalSource
# TransactionReference
# Description
# AnalysisCode9
# AnalysisCode10
# AnalysisCode4
# AnalysisCode5
# AnalysisCode6
# AnalysisCode8
# FK_Ledger
################################################################################
PrimaryKey,AccountCode,AccountingPeriod,TransactionDate,RecordType,DebitCredit,JournalType,JournalSource,TransactionReference,Description,AnalysisCode9,AnalysisCode10,AnalysisCode4,AnalysisCode5,AnalysisCode6,AnalysisCode8,FK_Ledger
1,CDOD11,0122015,23122015,L,C,PPI,PROAC,PU35182,Sponsorship and Partnership  - Civil Service Award,129738,,,,,,1
2,2301,0122015,23122015,L,D,PPI,PROAC,PU35182,Sponsorship and Partnership  - Civil Service Award,129738,123200,M8121,#,#,BP1203,1
3,CCOM50,0122015,23122015,L,C,PPI,PROAC,76368,12/15 Membership Pack Production - December       ,129741,,,,,,1
4,3530,0122015,23122015,L,D,PPI,PROAC,76368,12/15 Membership Pack Production - December       ,129741,124039,B86008,B86008,#,#,1
5,CWAD11,0122015,23122015,L,C,PPI,PROAC,0585,Home Insurance creation creative for cross sell as,129723,,,,,,1
6,2801,0122015,23122015,L,D,PPI,PROAC,0585,Home Insurance creation creative for cross sell as,129723,124033,M8206,#,#,#,1
7,CWAD11,0122015,23122015,L,C,PPI,PROAC,0583,Additional style setters – invite (internal) desk,129726,,,,,,1
8,2308,0122015,23122015,L,D,PPI,PROAC,0583,Additional style setters – invite (internal) desk,129726,124042,M8084,#,#,BP1230,1
9,CCOR46,0122015,22122015,L,C,PPI,PROAC,3142,Hitesh Mistry W/C 7/12/15 x  5 days @£275         ,129720,,,,,,1
10,2309,0122015,22122015,L,D,PPI,PROAC,3142,Hitesh Mistry W/C 7/12/15 x  5 days @£275         ,129720,123636,M1004,#,#,#,1
11,CCOR46,0122015,22122015,L,C,PPI,PROAC,3163,Hitesh Mistry W/C 7/12/15 x  5 days @£275         ,129721,,,,,,1
12,2309,0122015,22122015,L,D,PPI,PROAC,3163,Hitesh Mistry W/C 7/12/15 x  5 days @£275         ,129721,123636,M1004,#,#,#,1
13,CWAD11,0122015,23122015,L,C,PPI,PROAC,0582,Shutterstock image licence - 1 year               ,129727,,,,,,1
14,2308,0122015,23122015,L,D,PPI,PROAC,0582,Shutterstock image licence - 1 year               ,129727,124041,M8084,#,#,BP1230,1
15,CIND12,0012016,04012016,L,C,PPI,PROAC,EX16/124,ISBA Annual Conference 2016 Stand 74 - balance    ,129749,,,,,,1
16,2602,0012016,04012016,L,D,PPI,PROAC,EX16/124,ISBA Annual Conference 2016 Stand 74 - balance    ,129749,123972,M8007,#,#,#,1
17,CJOH56,0122015,23122015,L,C,PPI,PROAC,2759,23.11.15 - John Wright -engineer attended to elect,129753,,,,,,1
18,2105,0122015,23122015,L,D,PPI,PROAC,2759,23.11.15 - John Wright -engineer attended to elect,129753,123698,M2002,#,#,#,1
19,CWAD11,0122015,23122015,L,C,PPI,PROAC,0584,Ideal World - Promotional Film                    ,129725,,,,,,1
20,2308,0122015,23122015,L,D,PPI,PROAC,0584,Ideal World - Promotional Film                    ,129725,124043,M8084,#,#,BP1230,1
21,CUNI26,0122015,23122015,L,C,PPI,PROAC,548284,Quarterly charge for Printing Costs (usage)       ,129750,,,,,,1
22,2102,0122015,23122015,L,D,PPI,PROAC,548284,Quarterly charge for Printing Costs (usage)       ,129750,122782,M2703,#,#,#,1
23,CARN04,0122015,22122015,L,C,PPI,PROAC,802,5 days consultancy for remuneration project       ,129745,,,,,,1
24,2401,0122015,22122015,L,D,PPI,PROAC,802,5 days consultancy for remuneration project       ,129745,124057,M9353,#,#,#,1
25,2401,0122015,22122015,L,D,PPI,PROAC,802,expenses                                          ,129745,124057,M9353,#,#,#,1
26,CSAV07,0122015,23122015,L,C,PPI,PROAC,254000639,Estate agents fees for sale of Brackenhill        ,129737,,,,,,1
27,2101,0122015,23122015,L,D,PPI,PROAC,254000639,Estate agents fees for sale of Brackenhill        ,129737,124051,M2408,#,#,#,1
28,2101,0122015,23122015,L,D,PPI,PROAC,254000639,Yorkshire post advert for St Georges place        ,129737,124051,M2408,#,#,#,1
29,CWAD11,0122015,23122015,L,C,PPI,PROAC,0586,Review of incentives                              ,129724,,,,,,1
30,2306,0122015,23122015,L,D,PPI,PROAC,0586,Review of incentives                              ,129724,124014,M8716,#,#,#,1
31,CPRI52,0122015,23122015,L,C,PPI,PROAC,1354464869,K&P audit                                         ,129728,,,,,,1
32,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,K&P audit                                         ,129728,124028,M2403,#,#,#,1
33,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,Financial controls audit                          ,129728,124028,M2403,#,#,#,1
34,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,Product development audit                         ,129728,124028,M2403,#,#,#,1
35,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,Expenses                                          ,129728,124028,M2403,#,#,#,1
36,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,Follow up review                                  ,129728,124028,M2403,#,#,#,1
37,2101,0122015,23122015,L,D,PPI,PROAC,1354464869,Audit Committee                                   ,129728,124028,M2403,#,#,#,1
38,CRED16,0122015,22122015,L,C,PPI,PROAC,10113,15-12-07 Google Analytics training for Marketing t,129739,,,,,,1
39,2103,0122015,22122015,L,D,PPI,PROAC,10113,15-12-07 Google Analytics training for Marketing t,129739,123815,M1501,#,#,#,1
40,CODA01,0122015,21122015,L,C,PPI,PROAC,2336,PROJECT REST ROOM UNIT 3 - Refurbish rest area as ,129705,,,,,,1
41,5999,0122015,21122015,L,D,PPI,PROAC,2336,PROJECT REST ROOM UNIT 3 - Refurbish rest area as ,129705,123770,#,#,#,BP1516,1
42,CCOM50,0122015,17122015,L,C,PPI,PROAC,76292,January Warm dm Add nominee postage costs - volume,129651,,,,,,1
43,2306,0122015,17122015,L,D,PPI,PROAC,76292,January Warm dm Add nominee postage costs - volume,129651,123985,M8711,#,#,#,1
44,CSPA17,0122015,21122015,L,C,PPI,PROAC,9442,Amends to Warm DM leaflet and outer               ,129742,,,,,,1
45,2306,0122015,21122015,L,D,PPI,PROAC,9442,Amends to Warm DM leaflet and outer               ,129742,124045,M8711,#,#,#,1
46,CG4S01,0122015,17122015,L,C,PPI,PROAC,MTN13661,Board Room - access control G4S - S874 JAVELIN WAL,129762,,,,,,1
47,5999,0122015,17122015,L,D,PPI,PROAC,MTN13661,Board Room - access control G4S - S874 JAVELIN WAL,129762,123660,#,#,#,BP1516,1
48,CEXE04,0122015,17122015,L,C,PPI,PROAC,34825,M1501 - Training Talent Management                ,129777,,,,,,1
49,2103,0122015,17122015,L,D,PPI,PROAC,34825,M1501 - Training Talent Management                ,129777,124080,M1501,#,#,#,1
50,CVSC01,0122015,22122015,L,C,PPI,PROAC,00002376,CoM Meeting @ VSC on Monday 18th January 2016 - Al,129751,,,,,,1
51,2401,0122015,22122015,L,D,PPI,PROAC,00002376,CoM Meeting @ VSC on Monday 18th January 2016 - Al,129751,124066,M9316,#,#,#,1
52,CMAN50,0122015,16122015,L,C,PPI,PROAC,EVNT15185,Mid-morning tea coffee and biscuits              ,129758,,,,,,1
53,2501,0122015,16122015,L,D,PPI,PROAC,EVNT15185,Mid-morning tea coffee and biscuits              ,129758,124064,M9523,#,#,#,1
54,2501,0122015,16122015,L,D,PPI,PROAC,EVNT15185,Tea & Coffee                                      ,129758,124064,M9523,#,#,#,1
55,2501,0122015,16122015,L,D,PPI,PROAC,EVNT15185,Conference Phone - outgoing                       ,129758,124064,M9523,#,#,#,1
56,2501,0122015,16122015,L,D,PPI,PROAC,EVNT15185,DDR Finger Buffet                                 ,129758,124064,M9523,#,#,#,1
57,2501,0122015,16122015,L,D,PPI,PROAC,EVNT15185,Communication Meeting on Thursday 12th May 2016 - ,129758,124064,M9523,#,#,#,1
58,CMAR10,0122015,22122015,L,C,PPI,PROAC,CGVIN13998/2015,M8704 - BAU Mailing Costs                         ,129756,,,,,,1
59,2307,0122015,22122015,L,C,PPI,PROAC,CGVIN13998/2015,M8704 - BAU Mailing Costs                         ,129756,123909,M8704,#,#,BP1201,1
60,2307,0122015,22122015,L,D,PPI,PROAC,CGVIN13998/2015,M8704 - BAU Mailing Costs/ 3980 X £5 M&S Vouchers/,129756,123909,M8704,#,#,BP1201,1
61,CCAC01,0122015,21122015,L,C,PPI,PROAC,249067,07/01/2016 - 06/01/201715x BA&T SAP Business Objec,129755,,,,,,1
62,2102,0122015,21122015,L,D,PPI,PROAC,249067,07/01/2016 - 06/01/201715x BA&T SAP Business Objec,129755,124024,M3118,#,#,#,1
63,2102,0122015,21122015,L,D,PPI,PROAC,249067,07/01/2016 - 06/01/2017 3x BA&T SAP Business Objec,129755,124024,M3118,#,#,#,1
64,2102,0122015,21122015,L,D,PPI,PROAC,249067,07/01/2016 - 06/01/2017 2x SAP Application Busines,129755,124024,M3118,#,#,#,1
65,CQUA19,0122015,22122015,L,C,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -UHU White Tack,129772,,,,,,1
66,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -UHU White Tack,129772,123838,M2701,#,#,#,1
67,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -HP 300XL Inkje,129772,123838,M2701,#,#,#,1
68,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Clear Tape 24m,129772,123838,M2701,#,#,#,1
69,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Q-Connect High,129772,123838,M2701,#,#,#,1
70,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Staples 26/6 P,129772,123838,M2701,#,#,#,1
71,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Yellow Note Re,129772,123838,M2701,#,#,#,1
72,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Duracell Plus ,129772,123838,M2701,#,#,#,1
73,2105,0122015,22122015,L,D,PPI,PROAC,SINV00819493,07.12.15 - Quality Office Supplies -Avery A3 Photo,129772,123838,M2701,#,#,#,1
74,CSIM44,0122015,22122015,L,C,PPI,PROAC,1509,M8616 - incentives for usability test participants,129748,,,,,,1
75,2309,0122015,22122015,L,D,PPI,PROAC,1509,M8616 - incentives for usability test participants,129748,124067,M8616,#,#,BP1412,1
76,2309,0122015,22122015,L,D,PPI,PROAC,1509,M8612 - Usability testing - Members area          ,129748,124067,M8612,#,#,BP1412,1
77,CGUE03,0122015,22122015,L,C,PPI,PROAC,1640,Sale of Brackenhill fees                          ,129736,,,,,,1
78,4103,0122015,22122015,L,D,PPI,PROAC,1640,Sale of Brackenhill fees                          ,129736,124052,#,#,#,#,1
79,CSPA17,0122015,22122015,L,C,PPI,PROAC,9412,2016 NARPO Acq insert amends                      ,129743,,,,,,1
80,2306,0122015,22122015,L,D,PPI,PROAC,9412,2016 NARPO Acq insert amends                      ,129743,124046,M8712,#,#,#,1
81,CMON24,0122015,18122015,L,C,PPI,PROAC,18/12/2015 Benenden,Community Relations Grant - Belfast for boxing spo,129675,,,,,,1
82,2301,0122015,18122015,L,D,PPI,PROAC,18/12/2015 Benenden,Community Relations Grant - Belfast for boxing spo,129675,124000,M8114,#,#,BP1203,1
83,CWAD11,0122015,21122015,L,C,PPI,PROAC,0580,2016  Acquisition Planning                        ,129703,,,,,,1
84,2306,0122015,21122015,L,D,PPI,PROAC,0580,2016  Acquisition Planning                        ,129703,124012,M8701,#,#,#,1
85,CCLE57,0122015,21122015,L,C,PPI,PROAC,158694-november,Advice on the new corporate product - Greg Walsh  ,129770,,,,,,1
86,2203,0122015,21122015,L,D,PPI,PROAC,158694-november,Advice on the new corporate product - Greg Walsh  ,129770,123749,M2403,#,#,#,1
87,CFOO03,0122015,15122015,L,C,PPI,PROAC,125003,Gold Platter Plus buffet menu x 8 people to be del,129730,,,,,,1
